Product,Brand,Line,Comments,ProductType,LowPorosity,HighPorosity,Fine,Coarse,Frizz,Dry,Volume,URL,Image
"GIOVANNI Smooth as Silk Deep Moisture Shampoo, 8.5 oz. Hydrates & Calms Frizz, Detangles, Wash & Go, Co Wash, Curly & Wavy Hair, Sulfate Free, No Parabens, Color Safe (Pack of 3)",Giovanni,Curly Girl Products,479,shampoo,0.0,0.0,0.7297297297297297,0.3888888888888889,0.6,0.6103896103896104,0.9166666666666666,https://www.amazon.com/GIOVANNI-Smooth-Silk-Shampoo-Pack/dp/B001G7PLDW?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71Zi1SOy8qL._SX679_.jpg
"TRESemmé Hair Gel, Flawless Curls, 8 Ounce, Pack of 6",TRESemme,Curly & Wavy Hair,462,gel/custard,0.0,0.0,0.6451612903225806,0.8,0.6590909090909091,0.7142857142857143,0.75,https://www.amazon.com/TRESemm%C3%A9-Hair-Flawless-Curls-Pack/dp/B0009WY4W4?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71B3cnYe4bL._SX679_.jpg
"Carol's Daughter Black Vanilla Moisture and Shine Sulfate Free Shampoo For Dry Hair and Dull Hair, with Aloe and Rose, Paraben Free Shampoo, 12 fl oz (Packaging May Vary)",Carol's Daughter,Shampoos and Conditioners,452,shampoo,1.0,0.0,0.45,0.2903225806451613,0.6,0.3333333333333333,1.0,https://www.amazon.com/Carols-Daughter-Vanilla-Sulfate-free-Shampoo/dp/B00KJP8Y68?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/81eY8t9wu4L._SX679_.jpg
"Curls Blueberry Bliss Reparative Leave In Conditioner, 8 Ounces",Curls,Blueberry Bliss,426,"conditioner, leave-in",1.0,1.0,0.8205128205128205,0.6666666666666666,0.6363636363636364,0.6486486486486487,1.0,https://www.amazon.com/Blueberry-Reparative-Leave-Conditioner-Ounces/dp/B01AZT1SK6?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/51KUKtshaYL._SX679_.jpg
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,Cake Beauty,Hair,424,cream,0.25,-1.0,0.5081967213114754,0.44,0.6744186046511628,0.5918367346938775,0.625,https://www.amazon.com/Cake-Beauty-Friend-Defining-Cream/dp/B07PJ7FKTK?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71r-brMILjL._SX679_.jpg
Curly Magic,Uncle Funky's Daughter,Curl Definers,414,,-0.3333333333333333,1.0,0.7916666666666666,0.3333333333333333,0.7741935483870968,0.6451612903225806,1.0,https://www.amazon.com/Curly-Magic-Curl-Stimulator-18/dp/B008MAGW3Y?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/81WGACPbPLL._SY879_.jpg
Curly Magic 32 OZ,Uncle Funky's Daughter,Curl Definers,414,,-0.3333333333333333,1.0,0.7916666666666666,0.3333333333333333,0.7741935483870968,0.6451612903225806,1.0,https://www.amazon.com/Curly-Magic-Curl-Stimulator-32/dp/B072W3WSVC?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/61zW7GTm7wL._SX679_.jpg
"SheaMoisture Intensive Hydration Shampoo for Dry, Damaged Hair Manuka Honey and Mafura Oil Sulfate-Free 13 oz",SheaMoisture,Manuka Honey and Mafura Oil,411,shampoo,0.7142857142857143,-1.0,0.625,0.5833333333333334,0.6,0.5466666666666666,-1.0,https://www.amazon.com/SheaMoisture-Manuka-Intensive-Hydration-Shampoo/dp/B00OO0J9UY?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71ZrW5Te-9L._SX679_.jpg
"SheaMoisture Intensive Hydration Shampoo for Dry, Damaged Hair Manuka Honey and Mafura Oil Sulfate-Free 24oz",SheaMoisture,Manuka Honey and Mafura Oil,411,shampoo,0.7142857142857143,-1.0,0.625,0.5833333333333334,0.6,0.5466666666666666,-1.0,https://www.amazon.com/SheaMoisture-Intensive-Hydration-Shampoo-Sulfate-Free/dp/B09D8LMSTC?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71dadM064tL._SX679_.jpg
Curls Blueberry Bliss Curl Control Jelly (8 Ounce),Curls,Blueberry Bliss,404,gel/custard,0.2857142857142857,-0.5,0.42857142857142855,0.35,0.15217391304347827,0.047619047619047616,0.75,https://www.amazon.com/Curls-Blueberry-Bliss-Control-Jelly/dp/B00UTUTX9U?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/51jfKUKIsML._SX679_.jpg
